x1,x2,x3,group,target
,31.574425395658764,70.99033154879004,2.0,50.79375633822886
28.617356988288154,28.14358672098519,63.869505243691535,,38.2386774367076
36.47688538100692,28.2082174262176,50.89445554880261,0.0,58.0620396765056
45.23029856408026,39.57169225284936,40.295948334416394,2.0,97.70334425406541
27.65846625276664,22.208411176607992,60.47334970420385,1.0,34.77159059333581
27.658630430508193,,55.90228078132624,2.0,38.7565089751859
45.79212815507391,37.73852108333509,63.42789830041598,1.0,75.7084908191977
37.67434729152909,30.29521365844009,59.52757702522954,0.0,59.03054891169594
25.305256140650478,21.60651097544256,65.74329072979003,1.0,22.530464997071128
35.42560043585965,28.449860137658625,41.97147182659148,1.0,70.22829566724364
25.365823071875376,22.101863262653747,69.76091098451488,1.0,27.02337088679313
25.34270246429743,21.440820875754543,52.96399407038599,0.0,27.305000783823147
32.41962271566034,27.07878321457847,81.12891308937898,2.0,37.812041619482386
10.86719755342202,7.4219905963255215,39.66218272865648,2.0,4.434811873296388
12.750821674869673,,76.03945704747875,0.0,-12.679306985792811
24.377124707590273,22.23133845310324,52.96866175193972,1.0,40.46763381438416
19.87168879665576,17.892769852406158,40.22872994578327,2.0,25.23460485509298
33.142473325952736,26.21599183746272,42.741712489185176,0.0,58.065921463509945
20.91975924478789,,45.1947903770852,2.0,31.080575204135876
15.876962986647085,14.998192785393599,56.36248919602875,,10.944773671003608
44.65648768921554,34.619203973590466,57.84253232053249,1.0,80.68622853745066
27.742236995134643,24.667621830624316,41.394499940921314,2.0,49.29230894729617
30.67528204687924,24.74874222195566,49.634681116085254,0.0,46.43235127182509
15.752518137865433,14.530837754371936,82.13405537917795,2.0,-6.032250027628202
24.556172754748175,19.346228528450915,75.91314755151066,2.0,25.368856657640528
31.10922589709866,22.833077811204824,56.54485504511048,2.0,47.70471021248342
18.490064225776973,12.461469716144101,50.570052172523006,2.0,26.760169790426467
33.75698018345672,28.789603049260972,51.80046990077392,0.0,55.35028187883414
23.99361310081195,20.91401613913312,59.20276959095625,1.0,26.655829284465725
27.083062502067232,21.21196987654833,34.658111522023916,0.0,40.99056090894886
23.98293387770603,21.662678713604876,46.139351938649824,0.0,27.769521953901574
48.522781845089376,37.92132444378805,24.97123889183616,0.0,100.15091221344646
29.865027752620662,25.253113992432926,55.98834683907919,,46.960351048505245
19.422890710440996,14.087424704349932,59.707939095541114,,18.850022148303808
38.225449121031886,31.187959537272786,42.75220306550939,2.0,69.89888735396872
17.791563500289776,15.217626317879137,73.6098014493505,2.0,10.134950373306983
32.08863595004755,25.554513826972517,31.613515054964882,1.0,62.85825391464819
10.403298761202244,,28.034376796852698,2.0,14.75880731270065
16.718139511015693,16.223004202792218,53.36677727839958,1.0,22.122171048323192
31.968612358691235,26.019536765841252,65.70647453918232,2.0,50.12455787485409
37.38466579995411,,75.25891537186803,2.0,56.16644176385539
31.713682811899705,24.697216680799514,43.1167360569659,0.0,49.877313538298345
28.843517176117594,25.57659795553052,66.18021250146944,1.0,29.621879970790253
26.988963044107113,25.823755828806846,49.422372957489394,0.0,39.291476673855655
15.214780096325725,7.989274081622288,47.41059050088771,0.0,5.286075591002966
22.801557916052914,17.787533717704026,63.25489906230008,0.0,15.149927048844086
25.393612290402125,22.738714701202884,59.78484317620129,1.0,32.77741157971643
40.57122226218915,34.07944815077479,,1.0,91.19464035233109
33.43618289568462,29.163047208074538,72.14810524588844,2.0,47.24358462473402
12.36959844637266,9.30618830598512,70.70137031221176,0.0,-14.379985831763497
33.24083969394795,28.427893314801555,40.61655947735706,2.0,66.72329843388037
26.149177195836835,21.915446145677148,55.93705300156114,0.0,34.997951280956684
23.230779996940413,22.081727120718963,57.41045279424108,1.0,25.88109041682378
36.11676288840868,31.208090141749803,53.910106487358604,1.0,69.39511995328037
40.30999522495951,34.938701265365985,41.7454226923187,1.0,81.56121639922824
39.31280119116199,32.592127080242754,39.92564948092922,0.0,76.21596531953193
21.607824767773614,17.391438604462586,49.61668893512832,1.0,30.60922365795807
26.907876241487855,22.006578429625435,67.59093528889048,0.0,28.61840117306076
33.31263431403564,29.104643451686886,58.15400231891648,2.0,60.07706601608544
39.75545127122359,32.95016461889953,44.44078501870841,0.0,75.6989860947943
25.2082576215471,22.006568692107862,61.57548065972517,2.0,30.785737647285004
28.143410233361827,28.07270029564843,7.27186069054887,0.0,73.00646637262994
18.936650259939718,17.83840212781214,67.23148550558156,2.0,10.22673625029083
18.037933759193294,14.680196630978616,23.904293318328506,1.0,34.77212056653767
38.125258223941984,34.808897334678576,44.563385878953014,2.0,78.08252091435664
43.56240028570823,36.211889496808894,33.20495158060784,1.0,93.24758268394795
29.27989878419666,20.811664896211454,30.579777864186415,1.0,55.57229945387673
40.03532897892024,32.0138570102474,67.41240181067779,2.0,57.90122620288187
33.61636025047634,24.832322370853177,42.98448198032163,0.0,54.872949765468455
23.548802453948756,19.313455117773824,55.197558225960734,0.0,27.022798692092223
33.61395605508414,28.608699405200618,49.29619131681224,0.0,57.31466114173428
45.38036566465969,41.9261854395113,57.15561240834682,0.0,81.0141570832357
29.641739608900483,25.849333415093735,51.15232836590383,0.0,50.99096571352174
45.64643655814006,38.36127001680133,30.755116637171454,1.0,97.77095944461242
3.8025489591025554,4.89097777760415,64.94400229170711,0.0,-23.842104446688978
38.21902504375224,28.06390066917363,42.593651252580315,1.0,73.20434237694884
30.87047068238171,26.711129196241586,26.651271520103734,1.0,64.03119135346707
27.009926495341325,24.50016790881406,43.578272585511314,1.0,54.6222988286783
30.917607765355022,23.32279410899209,72.51139685951466,2.0,33.360823232997205
10.124310853991073,10.89317231230627,62.753326131702394,2.0,-0.9477643663218531
27.80328112162488,24.309781768369977,44.77021798388211,1.0,52.06490809230041
33.57112571511746,27.704881030048238,44.76113443522357,2.0,60.823257716814126
44.77894044741516,39.32766311251545,45.17547423173926,0.0,94.46156626782496
24.817297817263526,25.63608886028279,81.15121975341262,0.0,18.052698134885482
21.915063971068122,18.99153688552489,55.7290317834733,1.0,27.256853791930467
