ad_spend,social_media,daily_customers,store_type,daily_sales
811.6262258099887,676.6414587101638,100.0,1,4873.90611964504
1906.3571821788407,1675.1794128803435,85.0,1,10020.008608815735
1490.7884894416698,1268.66469860822,131.0,3,8407.383418099183
1237.4511199743695,943.8086035265034,132.0,2,7195.171512254681
396.4354168406294,245.27515976463488,95.0,2,2914.819529873106
396.389588638785,356.46520463154854,85.0,2,3242.329644723533
210.35886311957898,62.668433934011816,90.0,1,2088.374244322065
1745.7346769723767,1543.1044428462496,97.0,1,8927.358627331812
1242.1185223120967,1088.0500275073803,95.0,2,6606.619929848051
1445.3378978124865,1118.736266081613,64.0,1,7026.529931895332
139.11053916202465,-25.76233099765048,110.0,1,1550.501744654521
1942.8287191077893,1662.5727652194646,101.0,3,9988.935642558745
1681.6410175208014,1336.1496263964318,64.0,3,8505.712085291723
503.4443102887247,501.7807531888567,130.0,3,3903.08655858811
,228.8197374512436,95.0,3,2979.304262907491
448.46856872152426,310.8248531409176,,1,3702.101701278101
,542.867705275952,113.0,3,4606.7491891930795
1097.037220101252,881.388223582181,74.0,1,5226.285786220665
920.69553542002,700.5511906176765,68.0,3,4759.578434422214
653.3353663762796,572.4962876888236,93.0,3,4191.900016238815
1262.520499972521,924.6067656274093,94.0,3,6898.993118767091
365.0383352388795,280.6403093894001,,3,2688.8645983971496
655.0748322169145,533.6835163104836,69.0,2,3461.9231422306398
796.0875022580142,678.0251085311113,129.0,1,5248.854188134863
966.5329700123683,830.1555662570058,91.0,2,5440.359127883449
1591.834326646726,1183.4960939703512,59.0,2,7465.387321225171
479.3801861008835,260.7750152218571,87.0,1,2831.8231326187038
1077.0454329858621,963.8504921405704,67.0,2,5805.725545081327
1225.5876808378807,1007.055265628672,60.0,3,6099.41965092582
,90.72570440987226,103.0,1,1489.2825333905994
1254.335218612733,1127.5603329319881,81.0,3,6954.567762273896
423.9958350058539,348.4506387481118,98.0,3,3415.9351392222193
223.5980266720311,273.22219606273103,69.0,3,2176.6818175392873
1902.8825207813331,1527.7074951378754,91.0,3,9302.49446171362
1934.7008628416627,1712.6205242638894,137.0,2,10509.645410020701
1635.9549614212763,1449.1912365324774,106.0,3,8759.408041996321
