TV_Budget,Radio_Budget,Online_Budget,Season,Sales
143.63502971184062,110.76102282256687,118.46204378813756,Spring,794.2437086018064
287.67857660247904,,203.43597410778122,Spring,1360.9128262651843
232.99848545285127,60.23859011722261,194.0027453824003,Winter,1196.375699265969
199.66462104925915,125.79335256190333,171.9434117450838,Winter,1140.2021987596281
89.00466011060914,109.01505243200431,82.39953704710811,Summer,654.6228757663107
88.99863008405066,41.14020211483587,92.81451857833297,Winter,538.9387181911991
64.52090304204987,138.42053398419952,68.29516552461797,Summer,599.2995759890084
266.54403644373383,126.92984158001197,222.4188307395558,Spring,1406.568451615875
200.2787529358022,143.47398872795014,158.81968811946885,Summer,1172.3853239842767
227.01814444901137,114.3435360904868,148.39529688888928,Winter,1194.9204241785524
,99.74397547165267,52.70926324181221,Spring,417.3654511938125
292.4774630404986,74.37159471778045,238.13572417566112,Autumn,1370.255415810846
258.11066020010543,141.25470283602172,211.9201049039918,Summer,1446.3929843631804
103.08477766956904,132.58830563505308,56.93285061924905,Spring,648.6452256449338
95.45624180177515,25.878427113804623,54.74386263325488,Summer,522.0502891198191
95.85112746335845,23.42770668464276,97.74395903734484,Spring,469.03564874694007
126.06056073988444,68.94023769414645,100.05734551477445,Spring,672.8887176526645
181.18910790805947,125.37193300163828,158.58130027390007,Summer,1110.160865094498
157.98625466052894,148.34589681094278,126.95537125103239,Autumn,918.53264249203
122.80728504951048,39.554195843458665,98.84095082952331,Spring,542.9674087203105
202.96322368059487,97.23699299577757,181.13625506399586,Spring,1029.2983501922306
84.87346516301045,69.51581136203279,57.577877566060884,Spring,517.8963576650037
,146.08887171589842,100.3513452458633,Autumn,795.2575033252319
141.59046082342292,129.47546000764214,104.0268628846375,Autumn,916.5085753825567
164.01749605425897,128.98273161244794,122.52407229476087,Winter,966.8766318700925
246.2939903482534,80.93011077334614,190.85174980922994,Summer,1242.5563564012086
99.91844553958992,73.92653530389647,84.37743186434619,Autumn,620.4378536001183
,55.54291935099181,133.27191524945277,Summer,956.8523270311453
198.1036422155106,27.328814564620526,183.5980362838789,Winter,1036.2107175006831
61.61260317999943,132.41390891315692,31.397936499609468,Summer,583.0135190335207
201.8862129753596,125.67713118691009,157.7715374970605,Autumn,1124.3920833198335
92.63103092182288,149.96329752719697,65.31020357197482,Summer,743.5608016538604
66.26289824631988,149.5627888196077,81.94987628413057,Autumn,644.18991908937
287.2213843133333,92.20612172834157,233.70820298089816,Summer,1430.1031293781743
291.40800826863983,119.96836397346637,253.76329740428457,Autumn,1470.25973235661
